Percentage of Constraints,Percentage of False Positives
0.1,0.546
0.10333333333333333,0.446
0.10666666666666667,0.334
0.11000000000000001,0.258
0.11333333333333334,0.198
0.11666666666666667,0.178
0.12000000000000001,0.112
0.12333333333333334,0.106
0.12666666666666668,0.052
0.13,0.036
0.13333333333333333,0.034
0.13666666666666666,0.034
0.14,0.016
0.14333333333333334,0.02
0.14666666666666667,0.0
0.15000000000000002,0.006
0.15333333333333335,0.0
0.15666666666666668,0.0
0.16,0.002
0.16333333333333333,0.002
0.16666666666666669,0.0
0.17,0.0
0.17333333333333334,0.0
0.1766666666666667,0.0
0.18000000000000002,0.0
0.18333333333333335,0.0
0.18666666666666668,0.0
0.19,0.0
0.19333333333333336,0.0
0.19666666666666668,0.0
