Percentage of Constraints,Percentage of False Positives
0.01,1.0
0.011333333333333334,1.0
0.012666666666666666,1.0
0.014,1.0
0.015333333333333334,1.0
0.016666666666666666,1.0
0.018000000000000002,1.0
0.019333333333333334,1.0
0.020666666666666667,1.0
0.022,1.0
0.023333333333333334,1.0
0.024666666666666667,1.0
0.026000000000000002,1.0
0.027333333333333334,1.0
0.028666666666666667,1.0
0.03,1.0
0.03133333333333333,1.0
0.03266666666666667,1.0
0.034,1.0
0.035333333333333335,1.0
0.03666666666666667,1.0
0.038,1.0
0.03933333333333333,1.0
0.04066666666666667,0.998
0.042,0.998
0.043333333333333335,0.998
0.04466666666666667,1.0
0.046000000000000006,1.0
0.04733333333333334,0.992
0.048666666666666664,0.998
