Percentage of Constraints,Percentage of False Positives
0.006,1.0
0.0061333333333333335,1.0
0.006266666666666667,1.0
0.0064,0.996
0.006533333333333334,0.992
0.006666666666666667,0.99
0.0068000000000000005,0.976
0.006933333333333333,0.67
0.007066666666666667,0.968
0.0072,0.838
0.007333333333333333,0.976
0.007466666666666667,0.808
0.0076,0.736
0.007733333333333333,0.712
0.007866666666666668,0.704
0.008,0.374
0.008133333333333333,0.532
0.008266666666666667,0.534
0.008400000000000001,0.65
0.008533333333333334,0.348
0.008666666666666666,0.426
0.0088,0.21
0.008933333333333333,0.32
0.009066666666666667,0.04
0.0092,0.304
0.009333333333333334,0.014
0.009466666666666667,0.068
0.009600000000000001,0.196
0.009733333333333333,0.006
0.009866666666666666,0.052
