Percentage of Constraints,Percentage of False Positives
0.05,1.0
0.051666666666666666,0.994
0.05333333333333334,1.0
0.05500000000000001,0.998
0.05666666666666667,0.996
0.058333333333333334,0.998
0.060000000000000005,0.998
0.06166666666666667,0.996
0.06333333333333334,0.994
0.065,0.99
0.06666666666666667,0.986
0.06833333333333333,0.99
0.07,0.992
0.07166666666666667,0.984
0.07333333333333333,0.984
0.07500000000000001,0.964
0.07666666666666667,0.954
0.07833333333333334,0.934
0.08,0.916
0.08166666666666667,0.926
0.08333333333333334,0.874
0.085,0.892
0.08666666666666667,0.814
0.08833333333333335,0.846
0.09000000000000001,0.75
0.09166666666666667,0.732
0.09333333333333334,0.734
0.095,0.696
0.09666666666666668,0.664
0.09833333333333334,0.566
