Percentage of Constraints,Percentage of False Positives
0.001,1.0
0.0043,1.0
0.0076,1.0
0.0109,1.0
0.0142,1.0
0.0175,1.0
0.020800000000000003,0.998
0.024100000000000003,0.99
0.0274,0.904
0.0307,0.502
0.034,0.262
0.0373,0.022
0.040600000000000004,0.004
0.04390000000000001,0.002
0.047200000000000006,0.0
0.0505,0.0
0.0538,0.0
0.057100000000000005,0.0
0.0604,0.0
0.0637,0.0
0.067,0.0
0.0703,0.0
0.0736,0.0
0.07690000000000001,0.0
0.08020000000000001,0.0
0.0835,0.0
0.08680000000000002,0.0
0.0901,0.0
0.09340000000000001,0.0
0.0967,0.0
