Percent,False Positives,Constraints
0.0,1.0,0.0
0.000558041162400256,1.0,64.0
0.000592918735050272,1.0,64.0
0.0006103575213752799,1.0,64.0
0.0006190769145377839,1.0,64.0
0.0006196218766104404,1.0,64.0
0.0006198943576467687,1.0,64.0
0.0006200305981649329,1.0,64.0
0.0006200646582944739,0.0,128.0
0.0006200987184240149,0.0,128.0
0.0006201668386830969,0.0,128.0
0.00062125676282841,0.0,128.0
0.000623436611119036,0.0,128.0
0.000627796307700288,0.0,128.0
0.00069755145300032,0.0,192.0
0.000837061743600384,0.0,320.0
0.001116082324800512,0.0,384.0
