Percent,False Positives,Constraints
0.0,1.0,0.0
0.01,1.0,0.0
0.013452453613281252,1.0,64.0
0.015178680419921877,1.0,64.0
0.015610237121582032,1.0,64.0
0.015826015472412108,1.0,64.0
0.01585298776626587,1.0,64.0
0.01586647391319275,1.0,64.0
0.01586984544992447,1.0,64.0
0.01587153121829033,1.0,64.0
0.01587237410247326,1.0,64.0
0.015872795544564725,1.0,64.0
0.01587321698665619,0.0,128.0
0.01587996006011963,0.0,128.0
0.01593390464782715,0.0,128.0
0.01604179382324219,0.0,128.0
0.0169049072265625,0.0,128.0
0.023809814453125,0.0,256.0
