Percent,False Positives,Constraints
0.0,1.0,0.0
0.0029762584607567542,1.0,64.0
0.003348290768351348,1.0,64.0
0.0034412988452499965,1.0,64.0
0.003464550864474659,1.0,64.0
0.003470363869280824,1.0,64.0
0.0034718171204823657,1.0,64.0
0.003472180433282751,1.0,64.0
0.003472362089682944,0.0,128.0
0.0034725437460831365,0.0,128.0
0.0034732703716839073,0.0,128.0
0.00347617687408699,0.0,128.0
0.003487802883699321,0.0,128.0
0.0035343069221486453,0.0,128.0
0.0037203230759459424,0.0,128.0
0.004464387691135131,0.0,256.0
0.0059525169215135084,0.0,384.0
