Percent,False Positives,Constraints
0.0,1.0,0.0
0.00017475271970670978,1.0,64.0
0.00018567476468837914,1.0,64.0
0.00018840527593379648,1.0,128.0
0.00018874658983947365,1.0,128.0
0.00018891724679231223,1.0,128.0
0.00018892791285186466,1.0,128.0
0.00018893857891141705,0.0,128.0
0.0001889599110305219,0.0,128.0
0.00018900257526873154,0.0,128.0
0.00018908790374515082,0.0,128.0
0.00018977053155650516,0.0,128.0
0.00019113578717921384,0.0,128.0
0.0001965968096700485,0.0,128.0
0.0002184408996333872,0.0,256.0
0.00026212907956006464,0.0,384.0
0.00034950543941341956,0.0,384.0
