Percent,False Positives,Constraints
0.0,1.0,0.0
0.00017063288728449928,1.0,64.0
0.0001919619981950617,1.0,128.0
0.00019329506762697185,1.0,128.0
0.0001936283349849494,1.0,128.0
0.00019379496866393816,1.0,128.0
0.00019387828550343256,1.0,128.0
0.00019389911471330616,1.0,128.0
0.00019390952931824297,0.0,128.0
0.00019391994392317974,0.0,128.0
0.00019396160234292693,0.0,128.0
0.000194628137058882,0.0,128.0
0.0001972942759227023,0.0,128.0
0.00020262655365034288,0.0,192.0
0.0002132911091056241,0.0,192.0
0.0002559493309267489,0.0,384.0
0.00034126577456899856,0.0,384.0
