Percent,False Positives,Constraints
0.0,1.0,0.0
0.007936608493328095,1.0,64.0
0.008928684554994107,1.0,64.0
0.009424722585827112,1.0,64.0
0.009672741601243616,1.0,64.0
0.009796751108951868,1.0,64.0
0.009858755862805994,1.0,64.0
0.009889758239733057,1.0,64.0
0.009905259428196589,1.0,64.0
0.009913010022428354,1.0,64.0
0.009916885319544237,1.0,64.0
0.009918822968102179,1.0,64.0
0.00991979179238115,1.0,64.0
0.009920276204520635,1.0,64.0
0.00992076061666012,0.0,128.0
0.011904912739992142,0.0,192.0
0.01587321698665619,0.0,320.0
