Auxes,Best Percentage Reduction,Total Constraints Needed
0,0.005883178710937501,512
1,0.005882460549473763,0
2,0.003921580526832714,256
3,0.002450987829270446,256
4,0.0014706076572047805,256
5,0.0008578694264974784,256
6,0.0004901961408001338,256
7,0.00027573532920007534,256
8,0.00015319096887473667,256
9,8.425316287416089e-05,256
10,4.595767313271337e-05,256
