Auxes,Best Percentage Reduction,Total Constraints Needed
0,0.0014666748046875,2048
1,0.001466316729784012,0
2,0.0009775295703775555,1024
3,0.0006109559814859722,1024
4,0.0003665773178709625,1024
5,0.0002138404977753738,1024
6,0.00012219084107501524,1024
7,6.873234810469607e-05,1024
8,3.8185803138610604e-05,1024
9,2.1001725590943616e-05,1024
10,1.1455836279679144e-05,1024
