Auxes,Best Percentage Reduction,Total Constraints Needed
0,0.023809814453125,64
1,0.023809814453125,64
2,0.01587321698665619,128
3,0.00992076061666012,64
4,0.0059525169215135084,64
5,0.003472362089682944,64
6,0.0019841463552009104,64
7,0.001116082324800512,64
8,0.0006200646582944739,64
9,0.00034950543941341956,64
10,0.00018893857891141705,64
