Percent,False Positives,Constraints
0.0,1.0,0.0
0.0003106794716085166,1.0,64.0
0.00033009693858404885,1.0,64.0
0.00033980567207181497,1.0,64.0
0.0003410192637577857,1.0,64.0
0.0003411709627185321,1.0,128.0
0.00034124681219890526,1.0,128.0
0.00034126577456899856,0.0,128.0
0.00034128473693909186,0.0,128.0
0.0003413226616792784,0.0,128.0
0.0003416260596007711,0.0,128.0
0.0003422328554437565,0.0,128.0
0.00034466003881569805,0.0,128.0
0.00034951440555958113,0.0,128.0
0.0003883493395106457,0.0,192.0
0.00046601920741277486,0.0,384.0
0.0006213589432170331,0.0,384.0
