Percentage of Constraints,Percentage of False Positives
0.006,1.0
0.0061333333333333335,1.0
0.006266666666666667,1.0
0.0064,1.0
0.006533333333333334,1.0
0.006666666666666667,1.0
0.0068000000000000005,1.0
0.006933333333333333,1.0
0.007066666666666667,1.0
0.0072,1.0
0.007333333333333333,1.0
0.007466666666666667,1.0
0.0076,1.0
0.007733333333333333,1.0
0.007866666666666668,1.0
0.008,1.0
0.008133333333333333,1.0
0.008266666666666667,1.0
0.008400000000000001,1.0
0.008533333333333334,1.0
0.008666666666666666,1.0
0.0088,1.0
0.008933333333333333,1.0
0.009066666666666667,1.0
0.0092,1.0
0.009333333333333334,1.0
0.009466666666666667,1.0
0.009600000000000001,1.0
0.009733333333333333,1.0
0.009866666666666666,1.0
